BARCODE,STOCK_CODE,COLOUR_CODE,SIZE_CODE,STOCK_DESCRIPTION,LABEL_NAME,CATEGORY_NAME,PRODUCT_TYPE,Attribute,SEASON_NAME,COLOUR_DESCRIPTION,RETAIL_PRICE,SOH
9333331648124,BAELON,TAN,5,BAELON DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAN,159.95,0
9333331648254,BAELON,TAN,11Ω,BAELON DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAN,159.95,0
9333331648148,BAELON,TAN,6,BAELON DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAN,159.95,0
9333331820742,GEMI,TAN,7,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331820735,GEMI,TAN,6,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331820766,GEMI,TAN,9,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331820728,GEMI,TAN,5,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331820759,GEMI,TAN,8,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331856734,DEITHA,DBRN,36,DEITHA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,DARK/BROWN,199.95,0
9333331820711,GEMI,MSTY,12,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,MISTY,169.95,0
9333331856918,DISOLO,BLK,40,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,4
9333331856925,DISOLO,BLK,41,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,2
9333331856932,DISOLO,BLK,42,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,1
9333331856888,DISOLO,BLK,37,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,2
9333331856895,DISOLO,BLK,38,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,4
9333331856901,DISOLO,BLK,39,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,5
9333331856956,DISOLO,TAN,37,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,TAN,159.95,1
9333331856963,DISOLO,TAN,38,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,TAN,159.95,3
9333331856970,DISOLO,TAN,39,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,TAN,159.95,5
9333331856772,DEITHA,DBRN,40,DEITHA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,DARK/BROWN,199.95,3
