BARCODE,STOCK_CODE,COLOUR_CODE,SIZE_CODE,STOCK_DESCRIPTION,LABEL_NAME,CATEGORY_NAME,PRODUCT_TYPE,Attribute,SEASON_NAME,COLOUR_DESCRIPTION,RETAIL_PRICE,SOH
9333331645949,QUANEISHA,BLML,12,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331820490,STANHOPE,NTRL,6,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NEUTRAL,159.95,0
9333331820483,STANHOPE,NTRL,5,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NEUTRAL,159.95,0
9333331801352,CAMERO,LIDM,40,CAMERO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,LIGHT/DENIM,79.95,0
9333331820476,STANHOPE,NAVY,12,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NAVY,159.95,0
9333331646168,ALEC,BLKP,8,ALEC DIANA FERRARI,DIANA FERRARI,WOMENS,THONGS,,SUMMER 2018,BLACK/PATENT,99.95,0
9333331646175,ALEC,BLKP,9,ALEC DIANA FERRARI,DIANA FERRARI,WOMENS,THONGS,,SUMMER 2018,BLACK/PATENT,99.95,0
9333331646182,ALEC,BLKP,10,ALEC DIANA FERRARI,DIANA FERRARI,WOMENS,THONGS,,SUMMER 2018,BLACK/PATENT,99.95,0
9333331838754,TAMIKO,TAUP,40,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,1
9333331838761,TAMIKO,TAUP,41,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,0
9333331838785,SUNNY,BLUS,6,SUNNY DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,BLUSH,149.95,0
9333331801369,CAMERO,LIDM,41,CAMERO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,LIGHT/DENIM,79.95,0
9333331838778,TAMIKO,TAUP,42,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,0
9333331721124,CHRISTINA-,TAN,5,CHRISTINA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2020,TAN,199.95,2
